,name,rating,service,employees,headquarter,age
0,TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , Mumbai +349 more, 56 years old 
1,Accenture,4.0,IT Services & Consulting , 1 Lakh+ Employees , Dublin +179 more, 35 years old 
2,Cognizant,3.9,IT Services & Consulting , 1 Lakh+ Employees , Teaneck. New Jersey. +166 more, 30 years old 
3,Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , Bangalore/Bengaluru +278 more, 79 years old 
4,Capgemini,3.9,IT Services & Consulting , 1 Lakh+ Employees , Paris +143 more, 57 years old 
5,HDFC Bank,4.0,Banking , 1 Lakh+ Employees , Mumbai +1557 more, 30 years old 
6,ICICI Bank,4.0,Banking , 1 Lakh+ Employees , Mumbai +1292 more, 30 years old 
7,Infosys,3.8,IT Services & Consulting , 1 Lakh+ Employees , Bengaluru/Bangalore +182 more, 43 years old 
8,HCLTech,3.7,IT Services & Consulting , 1 Lakh+ Employees , Noida +182 more, 33 years old 
9,Tech Mahindra,3.7,IT Services & Consulting , 1 Lakh+ Employees , Pune +271 more, 38 years old 
10,Genpact,3.9,IT Services & Consulting , 1 Lakh+ Employees , New York +112 more, 27 years old 
11,Axis Bank,3.9,Banking , 50k-1 Lakh Employees , Mumbai +1310 more, 31 years old 
12,Teleperformance,3.7,BPO , 50k-1 Lakh Employees , Paris +190 more, 46 years old 
13,Concentrix Corporation,3.9,BPO , 50k-1 Lakh Employees , Fremont +118 more, 41 years old 
14,Jio,4.0,Telecom , 50k-1 Lakh Employees , Navi Mumbai +1175 more, 6 years old 
15,Amazon,4.1,Internet , 1 Lakh+ Employees , Seattle +456 more, 30 years old 
16,IBM,4.1,IT Services & Consulting , 1 Lakh+ Employees , Armonk +147 more, 113 years old 
17,Reliance Retail,4.0,Retail , 1 Lakh+ Employees , Navi Mumbai +1012 more, 18 years old 
18,HDB Financial Services,4.0,NBFC , 1 Lakh+ Employees , Ahmedabad +962 more, 17 years old 
19,Larsen & Toubro Limited,4.1,Engineering & Construction , 10k-50k Employees , Mumbai +627 more, 86 years old 
20,Vodafone Idea,4.2,Telecom , 5k-10k Employees , Mumbai +647 more, 6 years old 
21,BYJU'S,3.1,EdTech , 10k-50k Employees , Bangalore +307 more, 13 years old 
22,Kotak Mahindra Bank,3.9,Banking , 50k-1 Lakh Employees , Mumbai +573 more, 21 years old 
23,Deloitte,3.9,Management Consulting , 1 Lakh+ Employees , London +151 more, 179 years old 
24,Reliance Industries,4.1,Oil & Gas , 1 Lakh+ Employees , Navi Mumbai +686 more, 47 years old 
25,iEnergizer,4.7,BPO , 10k-50k Employees , Noida +30 more, 24 years old 
26,Bharti Airtel,4.1,Telecom , 10k-50k Employees , Gurgaon/Gurugram +665 more, 29 years old 
27,Tata Motors,4.2,Automobile , 10k-50k Employees , Pune +440 more, 79 years old 
28,WNS,3.5,BPO , 10k-50k Employees , Mumbai +37 more, 28 years old 
29,Flipkart,4.1,Internet , 10k-50k Employees , Bangalore +519 more, 17 years old 
30,IndusInd Bank,3.7,Banking , 10k-50k Employees , Gurgaon/Gurugram +687 more, 30 years old 
31,Ernst & Young,3.6,Management Consulting , 50k-1 Lakh Employees , London +96 more, 22 years old 
32,AU Small Finance Bank,4.5,Banking , 10k-50k Employees , Jaipur +405 more, 28 years old 
33,Mahindra & Mahindra,4.2,Automobile , 1 Lakh+ Employees , Mumbai +484 more, 79 years old 
34,Infosys BPM,3.8,BPO , 10k-50k Employees , Bangalore/Bengaluru +68 more, 22 years old 
35,DXC Technology,3.8,IT Services & Consulting , 10k-50k Employees , Minato +83 more, 7 years old 
36,IDFC FIRST Bank,4.1,Banking , 10k-50k Employees , Mumbai +586 more, 6 years old 
37,Conneqt Business Solutions,3.8,BPO , 10k-50k Employees , Mumbai +225 more, 22 years old 
38,LTIMindtree,3.7,IT Services & Consulting , 50k-1 Lakh Employees , Bangalore / Bengaluru +54 more, 27 years old 
39,HDFC Life,4.1,Insurance , 10k-50k Employees , Mumbai +563 more, 24 years old 
40,Bajaj Finserv,4.1,Financial Services , 50k-1 Lakh Employees , Pune +900 more, 17 years old 
41,Mphasis,3.5,IT Services & Consulting , 10k-50k Employees , Bangalore/Bengaluru +53 more, 26 years old 
42,PwC,3.6,Management Consulting , 10k-50k Employees , London +93 more, 144 years old 
43,HSBC Group,4.1,Banking , 10k-50k Employees , Pune +60 more, 159 years old 
44,Startek,3.3,BPO , 10k-50k Employees , Mumbai +73 more, 7 years old 
45,Hinduja Global Solutions,4.0,IT Services & Consulting , 10k-50k Employees , Bangalore/Bengaluru +104 more, 24 years old 
46,Samsung,4.1,Consumer Electronics & Appliances , 50k-1 Lakh Employees , Seoul +505 more, 55 years old 
47,Ericsson,4.3,Telecom , 10k-50k Employees , Stockholm +151 more, 148 years old 
48,Maruti Suzuki,4.3,Automobile , 10k-50k Employees , New Delhi +385 more, 43 years old 
49,Shriram Finance,4.1,NBFC , 50k-1 Lakh Employees , Mumbai +966 more, 45 years old 
50,Asian Paints,4.1,Chemicals , 5k-10k Employees , Mumbai +446 more, 82 years old 
51,Yes Bank,3.9,Banking , 10k-50k Employees , Mumbai +446 more, 20 years old 
52,Cipla,4.1,Pharma , 10k-50k Employees , Mumbai +238 more, 89 years old 
53,Dr. Reddy's,4.2,Pharma , 10k-50k Employees , Hyderabad/Secunderabad +166 more, 40 years old 
54,Sutherland Global Services,3.7,IT Services & Consulting , 10k-50k Employees , Pittsford +57 more, 38 years old 
55,Paytm,3.5,FinTech , 10k-50k Employees , Noida +327 more, 14 years old 
56,Bandhan Bank,3.8,Banking , 50k-1 Lakh Employees , Kolkata +779 more, 23 years old 
57,UltraTech Cement,4.2,Building Material , 10k-50k Employees , Mumbai +439 more, 41 years old 
58,EXL Service,3.8,Analytics & KPO , 10k-50k Employees , New York City +46 more, 25 years old 
59,NTT DATA,4.0,IT Services & Consulting , 10k-50k Employees , Chiyoda City +60 more, 36 years old 
60,ICICI Prudential Life Insurance,4.1,Insurance , 10k-50k Employees , Mumbai +453 more, 24 years old 
61,Bajaj Finance,4.1,NBFC , 10k-50k Employees , Pune +772 more, 37 years old 
62,Jana Small Finance Bank,3.9,Banking , 10k-50k Employees , Bangalore/Bengaluru +357 more, 18 years old 
63,Lupin,4.1,Pharma , 1k-5k Employees , Mumbai +168 more, 56 years old 
64,Indian Army,4.7,Defence & Aerospace , 1 Lakh+ Employees , New Delhi +337 more, 129 years old 
65,HCL Group,3.8,IT Services & Consulting , 1 Lakh+ Employees , Chennai +75 more, 48 years old 
